metric,dataset,value
mmd_linear,gmm_border_ahmad,55342.273864746094
mmd_linear,gmm_1000_border_ahmad,21677457.328308105
mmd_linear,gmm_ahmad,27491423.94949341
mmd_linear,copula_1000_ahmad,48122592.50881958
mmd_linear,gmm_1000_ahmad,81240890.51715088
mmd_linear,ahmad,92736085.41522217
mmd_linear,copula_1000_border_ahmad,155437375.70535278
mmd_linear,copula_ahmad,158452766.91445923
mmd_linear,copula_border_ahmad,252782230.17669678
mmd_linear,ctgan_ahmad,2301109182.1752014
mmd_linear,ctgan_1000_ahmad,2745157139.4963074
mmd_linear,ctgan_border_ahmad,2854988611.1184998
mmd_linear,ctgan_1000_border_ahmad,11314308515.015045
mmd_linear,ds_ahmad,17913232909.21292
mmd_linear,ds_1000_ahmad,21198892051.338135
mmd_rbf,ds_1000_ahmad,0.012111103848275802
mmd_rbf,ctgan_1000_border_ahmad,0.012111105328223577
mmd_rbf,copula_1000_border_ahmad,0.012111107327967451
mmd_rbf,copula_1000_ahmad,0.012111108217716729
mmd_rbf,ctgan_1000_ahmad,0.012111109120860296
mmd_rbf,gmm_1000_ahmad,0.01212310810900381
mmd_rbf,gmm_1000_border_ahmad,0.012125107952066545
mmd_rbf,ds_ahmad,0.01589577080834776
mmd_rbf,ctgan_border_ahmad,0.01589577700805118
mmd_rbf,copula_border_ahmad,0.01589578115598512
mmd_rbf,ctgan_ahmad,0.01589578229118959
mmd_rbf,copula_ahmad,0.015895782858844083
mmd_rbf,ahmad,0.01589580010632642
mmd_rbf,gmm_border_ahmad,0.015941564858938887
mmd_rbf,gmm_ahmad,0.01607893841159956
pcd,ahmad,1.4569309092197218
pcd,gmm_1000_ahmad,1.5073724942928992
pcd,copula_border_ahmad,1.582447728696682
pcd,copula_1000_border_ahmad,1.5934981714637633
pcd,gmm_1000_border_ahmad,1.603833124695713
pcd,gmm_ahmad,1.6611839673949798
pcd,copula_1000_ahmad,1.749837636204886
pcd,gmm_border_ahmad,1.9585328240247475
pcd,copula_ahmad,1.9713816457129585
pcd,ctgan_1000_ahmad,1.9938857851866554
pcd,ctgan_1000_border_ahmad,2.020657558047116
pcd,ds_1000_ahmad,2.070380572499635
pcd,ctgan_ahmad,2.1798327031486457
pcd,ctgan_border_ahmad,2.259218018723867
pcd,ds_ahmad,2.3680513631259696
