metric,dataset,value
mmd_linear,maternal,3.184604842084809
mmd_linear,gmm_1000_maternal_factorized,3.9387058863358106
mmd_linear,copula_1000_maternal_factorized,4.254901158201392
mmd_linear,gmm_maternal_factorized,4.8182945095031755
mmd_linear,copula_maternal_factorized,5.828244034826639
mmd_linear,gmm_border_maternal_factorized,5.8637482847843785
mmd_linear,copula_1000_border_maternal_factorized,6.830804061100935
mmd_linear,gmm_1000_border_maternal_factorized,7.339198222718551
mmd_linear,copula_border_maternal_factorized,9.434600437511108
mmd_linear,ctgan_maternal_factorized,54.91883799689822
mmd_linear,ctgan_1000_border_maternal_factorized,100.50506003960618
mmd_linear,ctgan_border_maternal_factorized,129.8279123971006
mmd_linear,ctgan_1000_maternal_factorized,134.27826307767828
mmd_linear,ds_maternal_factorized,768.0972719651472
mmd_linear,ds_1000_maternal_factorized,794.8607622223499
mmd_rbf,maternal,0.004812751265826202
mmd_rbf,gmm_1000_maternal_factorized,0.007470295713725498
mmd_rbf,gmm_1000_border_maternal_factorized,0.0075442880754014625
mmd_rbf,gmm_border_maternal_factorized,0.008309027919934136
mmd_rbf,gmm_maternal_factorized,0.008388123259856575
mmd_rbf,copula_1000_border_maternal_factorized,0.009153509831109479
mmd_rbf,ds_1000_maternal_factorized,0.009154221788542928
mmd_rbf,copula_1000_maternal_factorized,0.009155007023782212
mmd_rbf,ctgan_1000_border_maternal_factorized,0.009155116885161822
mmd_rbf,ctgan_1000_maternal_factorized,0.009158219346859436
mmd_rbf,ctgan_maternal_factorized,0.009563774282467715
mmd_rbf,copula_border_maternal_factorized,0.009564571419046364
mmd_rbf,ds_maternal_factorized,0.00956466910887107
mmd_rbf,ctgan_border_maternal_factorized,0.009565357348169202
mmd_rbf,copula_maternal_factorized,0.009566046384006714
pcd,gmm_1000_maternal_factorized,0.25564384205296736
pcd,maternal,0.2573787626374776
pcd,gmm_maternal_factorized,0.350220861701164
pcd,gmm_border_maternal_factorized,0.4092651337094133
pcd,gmm_1000_border_maternal_factorized,0.4932226693783869
pcd,copula_border_maternal_factorized,0.8205078569720156
pcd,copula_1000_border_maternal_factorized,0.8219036130978822
pcd,copula_1000_maternal_factorized,0.8942545229152473
pcd,copula_maternal_factorized,0.9042143448849456
pcd,ds_maternal_factorized,2.279168001662287
pcd,ctgan_1000_border_maternal_factorized,2.286074177830735
pcd,ctgan_maternal_factorized,2.289825610055463
pcd,ctgan_1000_maternal_factorized,2.3229696967779283
pcd,ctgan_border_maternal_factorized,2.366714730479202
pcd,ds_1000_maternal_factorized,2.3743397415041967
