metric,dataset,Age,Sex,ChestPainType,RestingBP,Cholesterol,FastingBS,RestingECG,MaxHR,ExerciseAngina,Oldpeak,ST_Slope,HeartDisease
hd,copula_1000_border_uci_factorized,0.030651582583511715,0.11218192599406655,0.1265812817778405,0.13790851111857014,0.1256082895228391,0.02755551568691908,0.15076336585763747,0.05304923267718958,0.15707914483787477,0.48452243948711476,0.20458111200324336,0.9272737925007632
hd,copula_1000_uci_factorized,0.03256119942693195,0.12941457604017417,0.1251905627538142,0.12697296558952562,0.10518595275317245,0.04143788624756459,0.26760785062440934,0.041824590897836425,0.2602991927060317,0.5111291773612776,0.2057786570004127,0.2084210956302781
hd,copula_1000_un_processed_uci,0.03256119942693195,0.12941457604017417,0.1251905627538142,0.12697296558952562,0.10518595275317245,0.04143788624756459,0.26760785062440934,0.041824590897836425,0.2602991927060317,0.5111291773612776,0.2057786570004127,0.2084210956302781
hd,copula_border_uci_factorized,0.029059506289816444,0.1227264678718147,0.15072054249133449,0.11998761037146233,0.12615191059549502,0.044327223851231855,0.1189625016057881,0.05005568412327733,0.19319037630956812,0.4918492090879607,0.22395828020902572,0.9447307456023835
hd,copula_uci_factorized,0.023522218425969934,0.14940066577228792,0.1408203592371022,0.12941393107770738,0.10680968576154354,0.06701951769271611,0.2611140314197124,0.0326346862622004,0.22812565717034536,0.5170572735602179,0.19823535792007754,0.185024370680043
hd,copula_un_processed_uci,0.023522218425969934,0.14940066577228792,0.1408203592371022,0.12941393107770738,0.10680968576154354,0.06701951769271611,0.2611140314197124,0.0326346862622004,0.22812565717034536,0.5170572735602179,0.19823535792007754,0.185024370680043
hd,ctgan_1000_border_uci_factorized,0.09253388540327888,0.0136313069291432,0.03498679855249546,0.10340201485568203,0.07053018019059398,0.5139340876406753,0.08167028876027779,0.04893860812299494,0.01239147443079623,0.5052291906451452,0.043160936141386226,0.10341735032580453
hd,ctgan_1000_uci_factorized,0.09921970724265367,0.0823392890766748,0.05125717952693254,0.13467555475720705,0.06731094645872682,0.47583248143315554,0.12286731900518498,0.04693153068731683,0.14573131716022916,0.7513886166314311,0.1262908740444524,0.3560556453751671
hd,ctgan_1000_un_processed_uci,0.039644543305191765,0.052085791857284916,0.06388422102953072,0.11209592822887249,0.056970914646813545,0.29546189053231964,0.06980915324160131,0.09659041503378796,0.12542090343240436,0.7957358371315415,0.1308947247344564,0.3528953442849462
hd,ctgan_border_uci_factorized,0.14805875592205073,0.004674050512811295,0.049085766093181014,0.1817638242409344,0.07574828668543192,0.4066603874110849,0.030530355952037073,0.04045737991138828,0.1264305712315954,0.5430692234017889,0.07908772956728674,0.0908282515477676
hd,ctgan_uci_factorized,0.05190876411761768,0.011603623048688932,0.09957344916940095,0.10603223122964986,0.07664132589076741,0.168546951285171,0.08482715715702678,0.04206151639437927,0.1264305712315954,0.7315314310607739,0.24603273320182925,0.5742247523851928
hd,ctgan_un_processed_uci,0.049048227680303626,0.04477131765235658,0.11875656148057376,0.10514426296245721,0.06681045139259559,0.33892684505122855,0.07133545459218302,0.043815141951933805,0.06253899623743477,0.7085933659675148,0.18616997716599648,0.3853592846757759
